pr_id,sha,author,committer,message
3161638137,00cf76c4943b683af0f9adb92b99c9e567cc3e45,Copilot,Copilot,Initial plan for issue
3161638137,a02a4a11bad4e408c4f33fe4a2ed191f4b698ec9,Copilot,Copilot,"Implement basic ExternalServiceResource with service discovery support

Co-authored-by: DamianEdwards <249088+DamianEdwards@users.noreply.github.com>"
3161638137,9d4b64da572eaaf0251a4888fcf5407bc47f3fa1,Copilot,Copilot,"Complete ExternalServiceResource implementation with working endpoint support

Co-authored-by: DamianEdwards <249088+DamianEdwards@users.noreply.github.com>"
3161638137,ca43b3288edfee426daaecde2e25f50e04a909a9,Copilot,Copilot,"Update implementation to follow DamianEdwards' proposal - WIP endpoint integration

Co-authored-by: DamianEdwards <249088+DamianEdwards@users.noreply.github.com>"
3161638137,b6d971b95457668a2147bf4aade2552842521635,Copilot,Copilot,"Fix port determination for external service endpoints to consider scheme

Updated GetPortFromUrl method to use scheme-appropriate default ports for parameterized expressions:
- HTTPS: 443 (was hardcoded 80)
- HTTP: 80
- FTP: 21
- WebSocket (ws): 80
- Secure WebSocket (wss): 443
- Unknown schemes: 80 (fallback)

Addresses @DamianEdwards' comment about considering URL scheme for default port selection.

Co-authored-by: DamianEdwards <249088+DamianEdwards@users.noreply.github.com>"
3161638137,b28113bbf71915eb191665626e128e2119a11d97,Copilot,Copilot,"Address code review feedback - add health checks, fix endpoint naming, and update tests

Co-authored-by: DamianEdwards <249088+DamianEdwards@users.noreply.github.com>"
3161638137,86960402d572f1147cec660479460426108bba7e,Copilot,Copilot,"Refactor ExternalServiceResource to follow DamianEdwards feedback - use regular AllocatedEndpoint, remove custom endpoint class, allocate endpoints immediately

Co-authored-by: DamianEdwards <249088+DamianEdwards@users.noreply.github.com>"
3161638137,0f3918e4ea96df460224743a1ef6de295098e5c1,DamianEdwards,DamianEdwards,WIP
3161638137,38822e4f94b6ce02b5324b90ec03605ba90bbe66,DamianEdwards,DamianEdwards,Merge branch 'main' into copilot/fix-2311
3161638137,fdd7e8c0636985916d673fe64dffbfd0b94c5419,DamianEdwards,DamianEdwards,ExternalServiceResource working now
3161638137,8c3edcac239740e6cc7f6c49c03e2c3993f9a153,DamianEdwards,DamianEdwards,Add support for Yarp and ExternalServiceResource
3152847691,057e64a73b40d931d8166875ab08eba4a5527a05,Copilot,Copilot,Initial plan for issue
3152847691,a0254e6835b353b4922318c2acf8cd02dc976f99,Copilot,Copilot,"Initial investigation and plan for Hugo data-driven content generation

Co-authored-by: MrHinsh <5205575+MrHinsh@users.noreply.github.com>"
3152847691,77086e6c6fe49f3ee8651fe21f82e8763b694d3f,Copilot,Copilot,"Implement Hugo data-driven content generation with working templates

Co-authored-by: MrHinsh <5205575+MrHinsh@users.noreply.github.com>"
3152847691,7dc161ef3e5748d5a126d9e026cd0ac8718fc6a3,Copilot,Copilot,"Complete Hugo data-driven content generation - eliminate Jekyll markdown duplication

Co-authored-by: MrHinsh <5205575+MrHinsh@users.noreply.github.com>"
3166186032,eda28b0c873f092901e017f9374fe6803026a679,Copilot,Copilot,Initial plan for issue
3166186032,0fa11eceb3dfdcc62af08ff20448a2741d0d3d4d,Copilot,Copilot,"Update artifact-upload and artifact-download actions to v4

Co-authored-by: sblom <31878+sblom@users.noreply.github.com>"
3092530279,94cf129ba98d900ca2d132e29d8246346ddb87f6,Copilot,Copilot,Initial plan for issue
3092530279,d3579b73958cd9d244454d374e11ace391cc4037,Copilot,Copilot,"Add devcontainer and GitHub Codespaces support (#190)

Co-authored-by: AlekSi <11512+AlekSi@users.noreply.github.com>"
3154385668,199e468c6ed17544870f154ebddfc4ab89694413,,,add scenario naming reqs section
3154385668,4c6ca6374a4fa15247476c998406a0a638bd4de2,,,remove redundant reqs
3075189241,57dbc93378ef7b5655c9834a4ac731aef1e3fcfd,Copilot,Copilot,Initial plan for issue
3075189241,98f899020b0412a1a6420da020cbf7b60e4c8eb8,Copilot,Copilot,"Implement EnhancedUserFacingDiagnostics to fix network events issue

Co-authored-by: akania <399222+akania@users.noreply.github.com>"
3075189241,a127183da0b925fe460a74be580eccc2e5a146e4,Copilot,Copilot,"Add tests and enhance the diagnostic solution

Co-authored-by: akania <399222+akania@users.noreply.github.com>"
3075189241,18af9eb782dc079d1f447dfed88b8c7ec363c24c,Copilot,Copilot,"Enhance documentation with detailed usage examples

Co-authored-by: akania <399222+akania@users.noreply.github.com>"
3085431994,36cedbca28f9e6ecaa33e5c80cee1f0bbdf71481,Copilot,Copilot,Initial plan for issue
3085431994,91cbee4e49d8271c32fc05e8cad515a6840f801b,Copilot,Copilot,"Fix RenameSource URL encoding for paths with special characters

Co-authored-by: tanyasethi-msft <124860586+tanyasethi-msft@users.noreply.github.com>"
