pr_id,sha,author,committer,message
2792918251,c76b4bae84dd76fe1f2d0a13848e3bd0c3c17c6e,devin-ai-integration[bot],devin-ai-integration[bot],"fix: show environment selector in view mode (EE) (#31266)

Co-Authored-By: Rudraprasad Das <rudra@appsmith.com>"
2879573182,ba9dd26573f60cb0adab1f3cec62bf234f2a063e,devin-ai-integration[bot],devin-ai-integration[bot],"Add Neon Auth integration documentation

Co-Authored-By: Konstantin Wohlwend <n2d4xc@gmail.com>"
2941637629,837af6646eef04251a1ff9223cfdbd166b384121,devin-ai-integration[bot],devin-ai-integration[bot],"chore(destination): Upgrade all Java destination connectors to use java-connector-base:2.0.1 for M4 compatibility

Co-Authored-By: davin@airbyte.io <davin@airbyte.io>"
2941637629,9768e0e2fcbdd530af3f73a7e5174f28fd7d6ce2,davinchia,davinchia,Ignore Destination Iceberg.
2941637629,cf45565715da7ec1a724deda4c8d1f9b7aaa3162,devin-ai-integration[bot],web-flow,"chore(destination): Bump patch versions and add changelog entries for Java destination connectors (#56356)

Co-authored-by: Devin AI <158243242+devin-ai-integration[bot]@users.noreply.github.com>
Co-authored-by: davin@airbyte.io <davin@airbyte.io>
Co-authored-by: Davin Chia <davinchia@gmail.com>"
2941637629,37fdda9b3c43a2eb1a580936589793b199b7058b,davinchia,davinchia,Undo wrong commit.
2941637629,59674f9b4293383eefb4cfb40ca359a3332ce550,davinchia,web-flow,Merge branch 'master' into devin/1742773952-update-java-destination-connectors
2941637629,6889982239ef56603aa0d45208477754acf72044,davinchia,davinchia,Merge conflict.
2941637629,3d64182fb0074239047601ba77f35a21b8d05afd,davinchia,web-flow,Merge branch 'master' into devin/1742773952-update-java-destination-connectors
2941637629,da0ed1ad04de980b0ead11d36c1c5914d99eba05,davinchia,davinchia,Merge conflict.
2941637629,00e1d9b271fa455284c2a65ebf3b28cbff71f16d,davinchia,davinchia,Merge conflict.
2864511051,e429d82e6af9cdc90b773c0490408fa85117aa4d,devin-ai-integration[bot],devin-ai-integration[bot],"Initial commit to trigger CI

Co-Authored-By: patrick.nilan@airbyte.io <patrick.nilan@airbyte.io>"
